split,machine,config,auc_source,auc_target,pauc,balance_ks
dev,bearing,raw-k1,59.8,61.34,60.74,0.424
dev,bearing,conf-soft-m0-k1,59.78,61.92,60.58,0.4281
dev,bearing,conf-soft-m10-k1,59.64,61.58,60.68,0.4246
dev,bearing,conf-soft-m30-k1,59.66,61.44,60.68,0.4251
dev,bearing,conf-soft-m100-k1,59.72,61.4,60.68,0.4248
dev,bearing,conf-soft-m300-k1,59.76,61.36,60.74,0.4246
dev,bearing,ratio-soft-k1,59.8,61.6,60.68,0.4317
dev,bearing,zscore-soft-k1,59.72,61.92,60.68,0.4289
dev,bearing,conf-hard-m0-k1,59.8,61.34,60.74,0.4246
dev,bearing,conf-hard-m10-k1,59.8,61.34,60.74,0.4242
dev,bearing,conf-hard-m30-k1,59.8,61.34,60.74,0.424
dev,bearing,conf-hard-m100-k1,59.8,61.34,60.74,0.424
dev,bearing,conf-hard-m300-k1,59.8,61.34,60.74,0.424
dev,bearing,ratio-hard-k1,59.8,61.34,60.74,0.4248
dev,bearing,zscore-hard-k1,59.8,61.34,60.74,0.4246
dev,bearing,raw-k2,59.6,62.34,60.37,0.4202
dev,bearing,conf-soft-m0-k2,59.4,62.76,60.32,0.4162
dev,bearing,conf-soft-m10-k2,59.46,62.8,60.32,0.4184
dev,bearing,conf-soft-m30-k2,59.46,62.5,60.21,0.4192
dev,bearing,conf-soft-m100-k2,59.54,62.38,60.26,0.42
dev,bearing,conf-soft-m300-k2,59.56,62.36,60.32,0.42
dev,bearing,ratio-soft-k2,59.48,62.8,60.26,0.4162
dev,bearing,zscore-soft-k2,59.6,62.88,60.37,0.4154
dev,bearing,conf-hard-m0-k2,59.6,62.34,60.37,0.4214
dev,bearing,conf-hard-m10-k2,59.6,62.34,60.37,0.4204
dev,bearing,conf-hard-m30-k2,59.6,62.34,60.37,0.4204
dev,bearing,conf-hard-m100-k2,59.6,62.34,60.37,0.4202
dev,bearing,conf-hard-m300-k2,59.6,62.34,60.37,0.4202
dev,bearing,ratio-hard-k2,59.6,62.34,60.37,0.4218
dev,bearing,zscore-hard-k2,59.6,62.34,60.37,0.421
dev,bearing,raw-k4,59.98,62.42,60.58,0.4232
dev,bearing,conf-soft-m0-k4,59.42,63.1,60.0,0.4152
dev,bearing,conf-soft-m10-k4,59.72,62.78,60.21,0.4206
dev,bearing,conf-soft-m30-k4,59.84,62.54,60.37,0.4214
dev,bearing,conf-soft-m100-k4,59.98,62.44,60.58,0.4224
dev,bearing,conf-soft-m300-k4,60.0,62.44,60.58,0.4226
dev,bearing,ratio-soft-k4,59.3,62.92,60.0,0.4162
dev,bearing,zscore-soft-k4,59.46,62.92,60.32,0.4216
dev,bearing,conf-hard-m0-k4,59.98,62.42,60.58,0.4253
dev,bearing,conf-hard-m10-k4,59.98,62.42,60.58,0.4238
dev,bearing,conf-hard-m30-k4,59.98,62.42,60.58,0.4234
dev,bearing,conf-hard-m100-k4,59.98,62.42,60.58,0.4232
dev,bearing,conf-hard-m300-k4,59.98,62.42,60.58,0.4232
dev,bearing,ratio-hard-k4,59.98,62.42,60.58,0.4246
dev,bearing,zscore-hard-k4,59.98,62.42,60.58,0.4248
dev,bearing,ldn-ratio-K1,62.94,50.48,57.89,0.3822
dev,bearing,ldn-ratio-K16,66.06,55.0,61.0,0.3895
dev,bearing,ldn-diff-K1,62.12,52.04,59.05,0.3846
dev,bearing,ldn-diff-K16,48.72,45.96,49.0,0.338
dev,bearing,conf-soft-m0-ldnK1,63.04,50.56,57.84,0.381
dev,bearing,conf-soft-m30-ldnK1,63.02,50.52,57.84,0.3806
dev,fan,raw-k1,73.66,52.62,59.63,0.5774
dev,fan,conf-soft-m0-k1,64.98,67.58,59.58,0.4972
dev,fan,conf-soft-m10-k1,70.06,62.52,59.74,0.4881
dev,fan,conf-soft-m30-k1,72.14,58.48,59.63,0.5364
dev,fan,conf-soft-m100-k1,73.08,54.92,59.58,0.5612
dev,fan,conf-soft-m300-k1,73.5,53.52,59.63,0.5711
dev,fan,ratio-soft-k1,56.08,74.88,52.47,0.4582
dev,fan,zscore-soft-k1,66.98,63.74,59.58,0.5824
dev,fan,conf-hard-m0-k1,64.96,67.56,59.53,0.497
dev,fan,conf-hard-m10-k1,70.06,62.5,59.74,0.4881
dev,fan,conf-hard-m30-k1,72.14,58.48,59.63,0.5364
dev,fan,conf-hard-m100-k1,73.08,54.9,59.58,0.5612
dev,fan,conf-hard-m300-k1,73.5,53.5,59.63,0.5711
dev,fan,ratio-hard-k1,56.04,74.86,52.63,0.4572
dev,fan,zscore-hard-k1,66.96,63.72,59.58,0.5816
dev,fan,raw-k2,73.92,50.4,60.05,0.7386
dev,fan,conf-soft-m0-k2,62.84,68.76,59.05,0.5424
dev,fan,conf-soft-m10-k2,69.32,62.18,59.68,0.56
dev,fan,conf-soft-m30-k2,72.2,57.1,59.74,0.657
dev,fan,conf-soft-m100-k2,73.44,52.68,59.89,0.7107
dev,fan,conf-soft-m300-k2,73.72,51.2,60.0,0.7259
dev,fan,ratio-soft-k2,58.04,72.42,52.11,0.4772
dev,fan,zscore-soft-k2,65.98,65.46,59.89,0.6453
dev,fan,conf-hard-m0-k2,62.84,68.76,59.05,0.5424
dev,fan,conf-hard-m10-k2,69.32,62.18,59.68,0.56
dev,fan,conf-hard-m30-k2,72.2,57.14,59.74,0.657
dev,fan,conf-hard-m100-k2,73.44,52.68,59.89,0.7107
dev,fan,conf-hard-m300-k2,73.72,51.2,60.0,0.7259
dev,fan,ratio-hard-k2,57.94,72.48,52.26,0.4919
dev,fan,zscore-hard-k2,65.96,65.46,59.89,0.6465
dev,fan,raw-k4,75.64,45.34,59.16,0.8572
dev,fan,conf-soft-m0-k4,61.9,66.26,57.47,0.4323
dev,fan,conf-soft-m10-k4,69.28,58.78,58.79,0.6505
dev,fan,conf-soft-m30-k4,72.88,53.1,59.16,0.759
dev,fan,conf-soft-m100-k4,74.7,48.28,59.05,0.8214
