policy,machine,config,auc_source,auc_target,pauc,balance_ks
ch0,Sander,conf-soft-m10-k2,59.72,51.16,52.89,0.3844
ch0,Sander,conf-soft-m30-k2,59.78,50.92,53.0,0.3846
ch0,Sander,conf-soft-m100-k2,59.96,50.84,53.11,0.384
ch0,Sander,conf-soft-m300-k2,60.0,50.7,53.16,0.384
ch0,Sander,ratio-soft-k2,59.4,51.8,52.89,0.3883
ch0,Sander,zscore-soft-k2,59.44,51.24,53.16,0.3853
ch0,Sander,conf-hard-m0-k2,59.72,52.38,53.21,0.3844
ch0,Sander,conf-hard-m10-k2,59.82,51.6,53.21,0.3842
ch0,Sander,conf-hard-m30-k2,59.88,51.08,53.21,0.3842
ch0,Sander,conf-hard-m100-k2,59.94,50.9,53.21,0.3842
ch0,Sander,conf-hard-m300-k2,60.0,50.76,53.21,0.3842
ch0,Sander,ratio-hard-k2,59.6,52.58,53.21,0.3846
ch0,Sander,zscore-hard-k2,59.92,51.84,53.21,0.3842
ch0,Sander,raw-k4,59.56,49.18,53.26,0.3937
ch0,Sander,conf-soft-m0-k4,59.04,50.2,52.79,0.3899
ch0,Sander,conf-soft-m10-k4,59.32,49.58,53.05,0.3943
ch0,Sander,conf-soft-m30-k4,59.46,49.42,53.05,0.3939
ch0,Sander,conf-soft-m100-k4,59.52,49.36,53.11,0.3937
ch0,Sander,conf-soft-m300-k4,59.5,49.26,53.21,0.3939
ch0,Sander,ratio-soft-k4,58.94,50.58,53.0,0.3933
ch0,Sander,zscore-soft-k4,59.06,49.62,53.32,0.3893
ch0,Sander,conf-hard-m0-k4,59.32,50.76,53.26,0.3937
ch0,Sander,conf-hard-m10-k4,59.4,50.06,53.26,0.3939
ch0,Sander,conf-hard-m30-k4,59.46,49.66,53.26,0.3939
ch0,Sander,conf-hard-m100-k4,59.52,49.36,53.26,0.3937
ch0,Sander,conf-hard-m300-k4,59.56,49.3,53.26,0.3937
ch0,Sander,ratio-hard-k4,59.12,51.26,53.26,0.3937
ch0,Sander,zscore-hard-k4,59.54,49.82,53.26,0.3935
ch0,Sander,ldn-ratio-K1,66.36,60.08,50.37,0.3828
ch0,Sander,ldn-ratio-K16,65.98,60.42,53.11,0.4053
ch0,Sander,ldn-diff-K1,64.38,59.82,52.11,0.3861
ch0,Sander,ldn-diff-K16,52.14,47.78,49.0,0.3529
ch0,Sander,conf-soft-m0-ldnK1,66.94,60.0,50.37,0.383
ch0,Sander,conf-soft-m30-ldnK1,66.88,59.96,50.37,0.3822
ch0,SewingMachine,raw-k1,68.9,67.26,62.21,0.362
ch0,SewingMachine,conf-soft-m0-k1,69.0,67.22,61.79,0.3475
