split,machine,config,auc_source,auc_target,pauc,balance_ks,uniform_ks,separability
dev,fan,conf-soft-m300-k2,64.86,37.78,48.74,0.5434,0.2943,1.0
dev,fan,ratio-soft-k2,61.4,40.68,48.74,0.4063,,1.0
dev,fan,zscore-soft-k2,55.4,45.84,48.79,0.5923,,1.0
dev,fan,conf-hard-m0-k2,55.8,46.52,48.89,0.5194,0.2928,1.0
dev,fan,conf-hard-m10-k2,59.12,42.36,48.74,0.3867,0.2161,1.0
dev,fan,conf-hard-m30-k2,61.46,40.0,48.79,0.4824,0.2625,1.0
dev,fan,conf-hard-m100-k2,63.84,38.4,48.74,0.5311,0.2862,1.0
dev,fan,conf-hard-m300-k2,64.86,37.78,48.74,0.5432,0.2943,1.0
dev,fan,ratio-hard-k2,61.4,40.7,48.74,0.4087,,1.0
dev,fan,zscore-hard-k2,55.36,45.9,48.79,0.5941,,1.0
dev,fan,raw-k4,67.96,32.76,48.58,0.9711,,1.0
dev,fan,conf-soft-m0-k4,49.12,51.7,49.26,0.6341,0.3466,1.0
dev,fan,conf-soft-m10-k4,57.7,42.98,49.21,0.6988,0.3697,1.0
dev,fan,conf-soft-m30-k4,62.34,37.12,49.05,0.8475,0.449,1.0
dev,fan,conf-soft-m100-k4,65.8,34.46,48.79,0.918,0.4895,1.0
dev,fan,conf-soft-m300-k4,66.98,33.46,48.79,0.9446,0.503,1.0
dev,fan,ratio-soft-k4,52.0,48.28,49.16,0.4535,,1.0
dev,fan,zscore-soft-k4,50.14,51.2,49.0,0.7196,,1.0
dev,fan,conf-hard-m0-k4,49.08,51.78,49.26,0.6428,0.3508,1.0
dev,fan,conf-hard-m10-k4,57.7,43.06,49.21,0.698,0.3696,1.0
dev,fan,conf-hard-m30-k4,62.34,37.14,49.05,0.8475,0.4489,1.0
dev,fan,conf-hard-m100-k4,65.8,34.48,48.79,0.918,0.4895,1.0
dev,fan,conf-hard-m300-k4,66.98,33.46,48.79,0.9446,0.503,1.0
dev,fan,ratio-hard-k4,51.94,48.48,49.16,0.4836,,1.0
dev,fan,zscore-hard-k4,50.1,51.38,49.0,0.7382,,1.0
dev,gearbox,raw-k1,65.5,51.24,55.05,0.5281,,0.598
dev,gearbox,conf-soft-m0-k1,61.2,53.94,55.0,0.4903,0.266,0.598
dev,gearbox,conf-soft-m10-k1,63.08,52.6,55.11,0.5297,0.2922,0.598
dev,gearbox,conf-soft-m30-k1,64.04,51.92,55.0,0.5295,0.2941,0.598
dev,gearbox,conf-soft-m100-k1,65.16,51.66,55.11,0.5283,0.295,0.598
dev,gearbox,conf-soft-m300-k1,65.34,51.5,55.05,0.5279,0.2948,0.598
dev,gearbox,ratio-soft-k1,62.34,52.2,55.16,0.5275,,0.598
dev,gearbox,zscore-soft-k1,62.32,53.2,54.84,0.5261,,0.598
dev,gearbox,conf-hard-m0-k1,59.68,53.38,55.79,0.442,0.2514,0.598
dev,gearbox,conf-hard-m10-k1,61.88,52.42,55.37,0.5194,0.2928,0.598
dev,gearbox,conf-hard-m30-k1,63.52,51.26,55.32,0.5283,0.296,0.598
dev,gearbox,conf-hard-m100-k1,64.82,51.06,55.11,0.5281,0.2957,0.598
dev,gearbox,conf-hard-m300-k1,65.2,51.24,55.11,0.5281,0.2951,0.598
dev,gearbox,ratio-hard-k1,60.38,52.2,56.11,0.4598,,0.598
dev,gearbox,zscore-hard-k1,59.8,53.22,55.32,0.4628,,0.598
dev,gearbox,raw-k2,65.82,51.96,55.11,0.5216,,0.598
dev,gearbox,conf-soft-m0-k2,61.6,54.22,54.95,0.5083,0.2733,0.598
dev,gearbox,conf-soft-m10-k2,63.34,52.86,54.79,0.5228,0.2893,0.598
dev,gearbox,conf-soft-m30-k2,64.46,51.96,55.0,0.522,0.2912,0.598
dev,gearbox,conf-soft-m100-k2,65.38,51.76,54.89,0.5216,0.2917,0.598
dev,gearbox,conf-soft-m300-k2,65.58,51.86,55.05,0.5214,0.2916,0.598
dev,gearbox,ratio-soft-k2,62.84,52.2,55.11,0.5238,,0.598
dev,gearbox,zscore-soft-k2,63.54,53.62,54.68,0.5206,,0.598
dev,gearbox,conf-hard-m0-k2,60.06,53.6,55.58,0.4578,0.2589,0.598
dev,gearbox,conf-hard-m10-k2,62.12,52.96,55.32,0.5147,0.2897,0.598
dev,gearbox,conf-hard-m30-k2,63.88,51.3,55.26,0.5216,0.2926,0.598
dev,gearbox,conf-hard-m100-k2,65.16,51.38,55.16,0.5216,0.2924,0.598
dev,gearbox,conf-hard-m300-k2,65.54,51.68,55.11,0.5216,0.2919,0.598
dev,gearbox,ratio-hard-k2,60.34,52.56,55.79,0.4703,,0.598
dev,gearbox,zscore-hard-k2,60.16,53.98,55.21,0.4909,,0.598
dev,gearbox,raw-k4,65.74,50.28,54.05,0.5208,,0.598
dev,gearbox,conf-soft-m0-k4,61.76,51.48,53.89,0.5113,0.272,0.598
dev,gearbox,conf-soft-m10-k4,63.52,50.18,53.89,0.5208,0.2859,0.598
dev,gearbox,conf-soft-m30-k4,64.52,50.02,54.05,0.5218,0.2883,0.598
dev,gearbox,conf-soft-m100-k4,65.34,50.3,53.89,0.5212,0.2894,0.598
dev,gearbox,conf-soft-m300-k4,65.46,50.3,53.95,0.5208,0.2894,0.598
dev,gearbox,ratio-soft-k4,62.8,50.36,53.47,0.5222,,0.598
dev,gearbox,zscore-soft-k4,63.86,50.54,53.63,0.5182,,0.598
dev,gearbox,conf-hard-m0-k4,60.32,51.04,54.37,0.461,0.261,0.598
dev,gearbox,conf-hard-m10-k4,62.22,50.32,54.32,0.5099,0.2872,0.598
dev,gearbox,conf-hard-m30-k4,64.0,49.56,54.16,0.5208,0.2907,0.598
dev,gearbox,conf-hard-m100-k4,65.2,49.7,54.11,0.5208,0.2903,0.598
dev,gearbox,conf-hard-m300-k4,65.48,50.08,54.0,0.5208,0.2898,0.598
dev,gearbox,ratio-hard-k4,60.34,50.34,54.47,0.4695,,0.598
dev,gearbox,zscore-hard-k4,61.48,50.8,54.21,0.4923,,0.598
dev,slider,raw-k1,75.44,52.9,51.21,0.6406,,0.596
dev,slider,conf-soft-m0-k1,74.64,54.38,51.42,0.5943,0.3152,0.596
dev,slider,conf-soft-m10-k1,74.92,53.74,51.21,0.6349,0.3416,0.596
dev,slider,conf-soft-m30-k1,75.14,53.18,51.11,0.6394,0.3446,0.596
dev,slider,conf-soft-m100-k1,75.28,52.96,51.11,0.6392,0.3448,0.596
dev,slider,conf-soft-m300-k1,75.36,52.96,51.21,0.6402,0.3446,0.596
dev,slider,ratio-soft-k1,74.84,54.1,51.58,0.6038,,0.596
dev,slider,zscore-soft-k1,74.96,53.12,51.21,0.6174,,0.596
dev,slider,conf-hard-m0-k1,75.3,54.14,51.21,0.582,0.3155,0.596
dev,slider,conf-hard-m10-k1,75.42,53.6,51.21,0.6323,0.3421,0.596
dev,slider,conf-hard-m30-k1,75.42,53.38,51.21,0.6406,0.3454,0.596
dev,slider,conf-hard-m100-k1,75.44,53.14,51.21,0.6406,0.3452,0.596
dev,slider,conf-hard-m300-k1,75.44,53.0,51.21,0.6406,0.3448,0.596
dev,slider,ratio-hard-k1,75.02,54.44,51.21,0.5863,,0.596
dev,slider,zscore-hard-k1,75.34,53.66,51.21,0.6115,,0.596
dev,slider,raw-k2,74.7,53.8,50.89,0.6919,,0.596
dev,slider,conf-soft-m0-k2,73.82,55.54,51.47,0.6826,0.3557,0.596
dev,slider,conf-soft-m10-k2,74.32,54.88,51.26,0.6929,0.3708,0.596
dev,slider,conf-soft-m30-k2,74.62,54.34,51.21,0.6923,0.3724,0.596
dev,slider,conf-soft-m100-k2,74.7,54.0,51.11,0.6915,0.3733,0.596
dev,slider,conf-soft-m300-k2,74.74,53.94,51.0,0.6923,0.3732,0.596
dev,slider,ratio-soft-k2,74.14,55.3,51.95,0.6907,,0.596
dev,slider,zscore-soft-k2,74.4,54.7,51.26,0.6893,,0.596
dev,slider,conf-hard-m0-k2,74.6,54.84,50.89,0.6624,0.3569,0.596
dev,slider,conf-hard-m10-k2,74.68,54.42,50.89,0.6931,0.3741,0.596
dev,slider,conf-hard-m30-k2,74.68,54.28,50.89,0.6919,0.374,0.596
dev,slider,conf-hard-m100-k2,74.7,53.98,50.89,0.6919,0.3739,0.596
dev,slider,conf-hard-m300-k2,74.7,53.84,50.89,0.6919,0.3734,0.596
dev,slider,ratio-hard-k2,74.34,55.18,50.89,0.6612,,0.596
dev,slider,zscore-hard-k2,74.64,54.5,50.89,0.6893,,0.596
dev,slider,raw-k4,72.48,54.64,50.53,0.6588,,0.596
dev,slider,conf-soft-m0-k4,71.1,56.42,51.37,0.6584,0.3455,0.596
dev,slider,conf-soft-m10-k4,71.82,55.64,51.11,0.6594,0.3523,0.596
dev,slider,conf-soft-m30-k4,72.16,55.14,50.95,0.6584,0.3531,0.596
dev,slider,conf-soft-m100-k4,72.22,54.98,50.79,0.6578,0.3541,0.596
dev,slider,conf-soft-m300-k4,72.36,54.74,50.63,0.6576,0.3541,0.596
dev,slider,ratio-soft-k4,71.68,56.2,51.53,0.6638,,0.596
dev,slider,zscore-soft-k4,71.76,55.78,51.05,0.6646,,0.596
dev,slider,conf-hard-m0-k4,72.34,55.84,50.53,0.6531,0.3511,0.596
dev,slider,conf-hard-m10-k4,72.48,55.24,50.53,0.6596,0.3551,0.596
dev,slider,conf-hard-m30-k4,72.48,55.1,50.53,0.6588,0.355,0.596
dev,slider,conf-hard-m100-k4,72.48,54.78,50.53,0.6588,0.3548,0.596
dev,slider,conf-hard-m300-k4,72.48,54.72,50.53,0.6588,0.3544,0.596
dev,slider,ratio-hard-k4,72.18,55.92,50.53,0.656,,0.596
dev,slider,zscore-hard-k4,72.42,55.5,50.53,0.6604,,0.596
dev,ToyCar,raw-k1,75.76,58.98,52.11,0.9998,,0.95
dev,ToyCar,conf-soft-m0-k1,35.24,84.48,48.37,0.4079,0.2346,0.95
dev,ToyCar,conf-soft-m10-k1,39.18,84.08,49.74,0.744,0.4063,0.95
dev,ToyCar,conf-soft-m30-k1,43.56,83.12,51.11,0.8838,0.4742,0.95
dev,ToyCar,conf-soft-m100-k1,50.1,80.82,51.58,0.959,0.5082,0.95
dev,ToyCar,conf-soft-m300-k1,58.56,76.02,51.79,0.9798,0.5191,0.95
dev,ToyCar,ratio-soft-k1,59.34,71.44,50.68,0.7079,,0.95
dev,ToyCar,zscore-soft-k1,58.16,71.86,50.74,0.7125,,0.95
dev,ToyCar,conf-hard-m0-k1,50.4,71.04,50.84,0.4709,0.2674,0.95
dev,ToyCar,conf-hard-m10-k1,51.14,70.92,50.84,0.7198,0.3948,0.95
dev,ToyCar,conf-hard-m30-k1,51.62,70.5,50.84,0.8727,0.4673,0.95
dev,ToyCar,conf-hard-m100-k1,53.74,70.42,50.84,0.9533,0.5056,0.95
dev,ToyCar,conf-hard-m300-k1,60.0,69.66,50.84,0.9782,0.518,0.95
dev,ToyCar,ratio-hard-k1,51.58,70.92,50.84,0.5006,,0.95
dev,ToyCar,zscore-hard-k1,50.42,71.0,50.84,0.5186,,0.95
dev,ToyCar,raw-k2,76.16,48.14,52.05,0.9994,,0.95
dev,ToyCar,conf-soft-m0-k2,34.1,84.2,48.32,0.4059,0.2267,0.95
dev,ToyCar,conf-soft-m10-k2,38.22,83.68,48.89,0.7632,0.409,0.95
dev,ToyCar,conf-soft-m30-k2,43.3,82.72,50.26,0.8945,0.4731,0.95
dev,ToyCar,conf-soft-m100-k2,50.24,80.9,51.37,0.9636,0.5051,0.95
dev,ToyCar,conf-soft-m300-k2,58.16,76.2,51.42,0.982,0.5152,0.95
dev,ToyCar,ratio-soft-k2,58.74,71.22,50.58,0.7749,,0.95
dev,ToyCar,zscore-soft-k2,58.34,71.52,50.63,0.7699,,0.95
dev,ToyCar,conf-hard-m0-k2,49.64,69.98,50.79,0.4523,0.2518,0.95
dev,ToyCar,conf-hard-m10-k2,51.0,69.76,50.79,0.7087,0.3867,0.95
dev,ToyCar,conf-hard-m30-k2,51.98,69.36,50.79,0.8743,0.4612,0.95
dev,ToyCar,conf-hard-m100-k2,54.18,69.28,50.79,0.9531,0.5005,0.95
dev,ToyCar,conf-hard-m300-k2,60.16,68.38,50.79,0.9776,0.5133,0.95
dev,ToyCar,ratio-hard-k2,50.72,69.98,50.79,0.4782,,0.95
dev,ToyCar,zscore-hard-k2,50.3,69.98,50.79,0.4879,,0.95
dev,ToyCar,raw-k4,76.74,37.38,52.05,1.0,,0.95
dev,ToyCar,conf-soft-m0-k4,34.44,82.2,48.63,0.4147,0.2367,0.95
dev,ToyCar,conf-soft-m10-k4,39.52,81.48,49.05,0.7901,0.4167,0.95
dev,ToyCar,conf-soft-m30-k4,44.22,80.44,49.63,0.903,0.4767,0.95
dev,ToyCar,conf-soft-m100-k4,51.52,78.12,51.47,0.9636,0.5065,0.95
dev,ToyCar,conf-soft-m300-k4,58.96,72.32,51.89,0.9826,0.5161,0.95
dev,ToyCar,ratio-soft-k4,59.14,70.7,50.53,0.8275,,0.95
dev,ToyCar,zscore-soft-k4,59.22,70.78,50.53,0.8202,,0.95
dev,ToyCar,conf-hard-m0-k4,49.58,67.5,50.68,0.4499,0.2488,0.95
dev,ToyCar,conf-hard-m10-k4,51.26,67.16,50.68,0.7341,0.3922,0.95
dev,ToyCar,conf-hard-m30-k4,52.32,66.68,50.68,0.8788,0.4638,0.95
dev,ToyCar,conf-hard-m100-k4,55.0,66.16,50.68,0.9543,0.5017,0.95
dev,ToyCar,conf-hard-m300-k4,61.38,63.58,50.68,0.9798,0.514,0.95
dev,ToyCar,ratio-hard-k4,50.64,67.34,50.68,0.4661,,0.95
dev,ToyCar,zscore-hard-k4,50.76,67.32,50.68,0.4818,,0.95
dev,ToyTrain,raw-k1,85.04,69.8,53.84,0.9927,,0.8
dev,ToyTrain,conf-soft-m0-k1,65.04,61.44,52.37,0.6527,0.3526,0.8
dev,ToyTrain,conf-soft-m10-k1,69.44,62.16,52.79,0.8507,0.4572,0.8
dev,ToyTrain,conf-soft-m30-k1,73.18,62.9,52.89,0.9281,0.4948,0.8
dev,ToyTrain,conf-soft-m100-k1,79.04,65.12,53.89,0.9707,0.5136,0.8
dev,ToyTrain,conf-soft-m300-k1,82.82,67.78,54.74,0.9832,0.5195,0.8
dev,ToyTrain,ratio-soft-k1,82.52,71.9,54.95,0.8735,,0.8
dev,ToyTrain,zscore-soft-k1,81.9,71.78,55.05,0.8566,,0.8
dev,ToyTrain,conf-hard-m0-k1,76.76,71.34,55.32,0.6887,0.3753,0.8
dev,ToyTrain,conf-hard-m10-k1,77.88,71.22,55.32,0.7909,0.4251,0.8
dev,ToyTrain,conf-hard-m30-k1,79.1,71.0,55.32,0.8828,0.4758,0.8
dev,ToyTrain,conf-hard-m100-k1,81.46,70.82,55.32,0.9584,0.5065,0.8
dev,ToyTrain,conf-hard-m300-k1,83.46,71.1,55.42,0.9782,0.5166,0.8
dev,ToyTrain,ratio-hard-k1,79.74,71.7,55.42,0.738,,0.8
dev,ToyTrain,zscore-hard-k1,78.24,71.56,55.32,0.698,,0.8
dev,ToyTrain,raw-k2,84.78,64.96,52.95,0.9885,,0.8
dev,ToyTrain,conf-soft-m0-k2,65.16,60.06,52.21,0.6739,0.3613,0.8
dev,ToyTrain,conf-soft-m10-k2,69.12,60.6,52.53,0.861,0.4596,0.8
dev,ToyTrain,conf-soft-m30-k2,72.86,61.06,52.89,0.937,0.4942,0.8
dev,ToyTrain,conf-soft-m100-k2,78.92,63.0,53.74,0.9695,0.5115,0.8
dev,ToyTrain,conf-soft-m300-k2,83.04,64.76,54.53,0.9806,0.5169,0.8
dev,ToyTrain,ratio-soft-k2,83.0,71.16,55.05,0.8921,,0.8
dev,ToyTrain,zscore-soft-k2,82.08,71.26,55.05,0.8758,,0.8
dev,ToyTrain,conf-hard-m0-k2,76.86,70.76,55.11,0.6885,0.3747,0.8
dev,ToyTrain,conf-hard-m10-k2,78.18,70.54,55.11,0.7909,0.425,0.8
dev,ToyTrain,conf-hard-m30-k2,79.0,70.14,55.11,0.8877,0.4742,0.8
dev,ToyTrain,conf-hard-m100-k2,81.7,69.64,55.11,0.9552,0.5039,0.8
dev,ToyTrain,conf-hard-m300-k2,83.48,69.06,55.21,0.9758,0.5138,0.8
dev,ToyTrain,ratio-hard-k2,80.9,70.76,55.21,0.7529,,0.8
dev,ToyTrain,zscore-hard-k2,78.38,70.88,55.11,0.7299,,0.8
dev,ToyTrain,raw-k4,84.5,60.8,51.21,0.9798,,0.8
dev,ToyTrain,conf-soft-m0-k4,64.84,58.7,52.0,0.6624,0.3499,0.8
dev,ToyTrain,conf-soft-m10-k4,69.12,59.1,52.47,0.8616,0.4558,0.8
dev,ToyTrain,conf-soft-m30-k4,73.4,59.28,52.63,0.9277,0.4897,0.8
dev,ToyTrain,conf-soft-m100-k4,79.1,61.0,53.58,0.9566,0.5067,0.8
dev,ToyTrain,conf-soft-m300-k4,83.32,62.86,54.74,0.9723,0.5119,0.8
dev,ToyTrain,ratio-soft-k4,83.66,69.74,55.26,0.8729,,0.8
dev,ToyTrain,zscore-soft-k4,82.54,70.5,55.21,0.8519,,0.8
dev,ToyTrain,conf-hard-m0-k4,77.1,70.38,55.21,0.6846,0.3705,0.8
dev,ToyTrain,conf-hard-m10-k4,78.34,69.98,55.21,0.7853,0.4195,0.8
dev,ToyTrain,conf-hard-m30-k4,79.7,69.36,55.21,0.8816,0.4694,0.8
dev,ToyTrain,conf-hard-m100-k4,81.86,68.68,55.21,0.9424,0.499,0.8
dev,ToyTrain,conf-hard-m300-k4,83.8,67.74,55.32,0.9638,0.5088,0.8
dev,ToyTrain,ratio-hard-k4,82.24,70.02,55.32,0.7552,,0.8
dev,ToyTrain,zscore-hard-k4,78.72,70.28,55.21,0.7394,,0.8
dev,valve,raw-k1,72.28,76.7,61.53,0.4081,,0.593
dev,valve,conf-soft-m0-k1,72.86,76.72,61.74,0.3986,0.2274,0.593
dev,valve,conf-soft-m10-k1,72.52,76.52,61.37,0.4014,0.2341,0.593
dev,valve,conf-soft-m30-k1,72.4,76.7,61.37,0.4024,0.2383,0.593
dev,valve,conf-soft-m100-k1,72.34,76.66,61.42,0.4055,0.2404,0.593
dev,valve,conf-soft-m300-k1,72.3,76.62,61.47,0.4073,0.2408,0.593
dev,valve,ratio-soft-k1,72.64,76.04,60.47,0.3933,,0.593
dev,valve,zscore-soft-k1,72.78,74.98,59.16,0.4028,,0.593
dev,valve,conf-hard-m0-k1,72.6,76.98,61.53,0.3998,0.2362,0.593
dev,valve,conf-hard-m10-k1,72.46,76.8,61.53,0.4085,0.2416,0.593
dev,valve,conf-hard-m30-k1,72.38,76.7,61.53,0.4081,0.2417,0.593
dev,valve,conf-hard-m100-k1,72.3,76.7,61.53,0.4081,0.2417,0.593
dev,valve,conf-hard-m300-k1,72.28,76.7,61.53,0.4081,0.2413,0.593
dev,valve,ratio-hard-k1,72.6,77.0,61.53,0.3879,,0.593
dev,valve,zscore-hard-k1,72.68,77.1,61.53,0.4145,,0.593
dev,valve,raw-k2,71.7,77.26,62.53,0.4283,,0.593
dev,valve,conf-soft-m0-k2,72.32,76.76,62.32,0.3986,0.2258,0.593
dev,valve,conf-soft-m10-k2,71.86,77.18,62.63,0.4147,0.238,0.593
dev,valve,conf-soft-m30-k2,71.78,77.3,62.53,0.421,0.2431,0.593
dev,valve,conf-soft-m100-k2,71.68,77.34,62.58,0.4263,0.2451,0.593
dev,valve,conf-soft-m300-k2,71.68,77.32,62.58,0.4269,0.2457,0.593
dev,valve,ratio-soft-k2,72.32,76.24,62.16,0.3974,,0.593
dev,valve,zscore-soft-k2,72.24,74.38,58.84,0.4006,,0.593
dev,valve,conf-hard-m0-k2,71.94,77.34,62.53,0.4303,0.2466,0.593
dev,valve,conf-hard-m10-k2,71.8,77.36,62.53,0.4285,0.2466,0.593
dev,valve,conf-hard-m30-k2,71.78,77.36,62.53,0.4285,0.2466,0.593
dev,valve,conf-hard-m100-k2,71.72,77.3,62.53,0.4285,0.2465,0.593
dev,valve,conf-hard-m300-k2,71.7,77.26,62.53,0.4283,0.2462,0.593
dev,valve,ratio-hard-k2,71.96,77.34,62.53,0.4143,,0.593
dev,valve,zscore-hard-k2,72.1,77.54,62.84,0.4305,,0.593
dev,valve,raw-k4,70.24,76.12,63.32,0.3986,,0.593
dev,valve,conf-soft-m0-k4,70.76,75.24,63.42,0.3949,0.2264,0.593
dev,valve,conf-soft-m10-k4,70.58,75.68,63.26,0.3988,0.2302,0.593
dev,valve,conf-soft-m30-k4,70.3,75.96,63.21,0.3984,0.2322,0.593
dev,valve,conf-soft-m100-k4,70.28,76.12,63.26,0.3986,0.2337,0.593
dev,valve,conf-soft-m300-k4,70.22,76.1,63.26,0.3988,0.2341,0.593
dev,valve,ratio-soft-k4,70.76,75.4,63.05,0.3925,,0.593
dev,valve,zscore-soft-k4,70.78,73.1,60.95,0.3909,,0.593
dev,valve,conf-hard-m0-k4,70.66,76.3,63.58,0.4046,0.2365,0.593
dev,valve,conf-hard-m10-k4,70.42,76.24,63.32,0.399,0.2348,0.593
dev,valve,conf-hard-m30-k4,70.32,76.18,63.32,0.3986,0.2346,0.593
dev,valve,conf-hard-m100-k4,70.28,76.14,63.32,0.3986,0.2345,0.593
dev,valve,conf-hard-m300-k4,70.26,76.14,63.32,0.3986,0.2344,0.593
dev,valve,ratio-hard-k4,70.42,76.22,63.32,0.4024,,0.593
dev,valve,zscore-hard-k4,70.68,76.4,63.68,0.4004,,0.593
eval,AutoTrash,raw-k1,79.58,48.74,50.79,0.8024,,0.649
eval,AutoTrash,conf-soft-m0-k1,72.1,66.22,50.79,0.6248,0.3277,0.649
eval,AutoTrash,conf-soft-m10-k1,75.38,60.3,50.74,0.7487,0.3906,0.649
eval,AutoTrash,conf-soft-m30-k1,77.42,55.62,51.0,0.7802,0.4094,0.649
eval,AutoTrash,conf-soft-m100-k1,78.6,51.76,51.32,0.7949,0.4189,0.649
eval,AutoTrash,conf-soft-m300-k1,79.18,49.6,51.0,0.7996,0.4218,0.649
eval,AutoTrash,ratio-soft-k1,75.34,62.56,50.79,0.6701,,0.649
eval,AutoTrash,zscore-soft-k1,74.26,62.52,51.16,0.6127,,0.649
