split,machine,config,auc_source,auc_target,pauc,balance_ks
dev,fan,ratio-hard-k2,61.4,40.7,48.74,0.4087
dev,fan,zscore-hard-k2,55.36,45.9,48.79,0.5941
dev,fan,raw-k4,67.96,32.76,48.58,0.9711
dev,fan,conf-soft-m0-k4,49.12,51.7,49.26,0.6341
dev,fan,conf-soft-m10-k4,57.7,42.98,49.21,0.6988
dev,fan,conf-soft-m30-k4,62.34,37.12,49.05,0.8475
dev,fan,conf-soft-m100-k4,65.8,34.46,48.79,0.918
dev,fan,conf-soft-m300-k4,66.98,33.46,48.79,0.9446
dev,fan,ratio-soft-k4,52.0,48.28,49.16,0.4535
dev,fan,zscore-soft-k4,50.14,51.2,49.0,0.7196
dev,fan,conf-hard-m0-k4,49.08,51.78,49.26,0.6428
dev,fan,conf-hard-m10-k4,57.7,43.06,49.21,0.698
dev,fan,conf-hard-m30-k4,62.34,37.14,49.05,0.8475
dev,fan,conf-hard-m100-k4,65.8,34.48,48.79,0.918
dev,fan,conf-hard-m300-k4,66.98,33.46,48.79,0.9446
dev,fan,ratio-hard-k4,51.94,48.48,49.16,0.4836
dev,fan,zscore-hard-k4,50.1,51.38,49.0,0.7382
dev,fan,ldn-ratio-K1,40.72,59.16,52.05,0.5887
dev,fan,ldn-ratio-K16,30.28,71.2,51.95,0.7952
dev,fan,ldn-diff-K1,38.36,56.8,48.21,0.6756
dev,fan,ldn-diff-K16,25.74,74.56,50.74,1.0
dev,fan,conf-soft-m0-ldnK1,43.36,57.02,52.32,0.5156
dev,fan,conf-soft-m30-ldnK1,43.64,56.86,52.21,0.5265
dev,gearbox,raw-k1,65.5,51.24,55.05,0.5281
dev,gearbox,conf-soft-m0-k1,61.2,53.94,55.0,0.4903
dev,gearbox,conf-soft-m10-k1,63.08,52.6,55.11,0.5297
dev,gearbox,conf-soft-m30-k1,64.04,51.92,55.0,0.5295
dev,gearbox,conf-soft-m100-k1,65.16,51.66,55.11,0.5283
dev,gearbox,conf-soft-m300-k1,65.34,51.5,55.05,0.5279
dev,gearbox,ratio-soft-k1,62.34,52.2,55.16,0.5275
dev,gearbox,zscore-soft-k1,62.32,53.2,54.84,0.5261
dev,gearbox,conf-hard-m0-k1,59.68,53.38,55.79,0.442
dev,gearbox,conf-hard-m10-k1,61.88,52.42,55.37,0.5194
dev,gearbox,conf-hard-m30-k1,63.52,51.26,55.32,0.5283
dev,gearbox,conf-hard-m100-k1,64.82,51.06,55.11,0.5281
dev,gearbox,conf-hard-m300-k1,65.2,51.24,55.11,0.5281
dev,gearbox,ratio-hard-k1,60.38,52.2,56.11,0.4598
dev,gearbox,zscore-hard-k1,59.8,53.22,55.32,0.4628
dev,gearbox,raw-k2,65.82,51.96,55.11,0.5216
dev,gearbox,conf-soft-m0-k2,61.6,54.22,54.95,0.5083
dev,gearbox,conf-soft-m10-k2,63.34,52.86,54.79,0.5228
dev,gearbox,conf-soft-m30-k2,64.46,51.96,55.0,0.522
dev,gearbox,conf-soft-m100-k2,65.38,51.76,54.89,0.5216
dev,gearbox,conf-soft-m300-k2,65.58,51.86,55.05,0.5214
dev,gearbox,ratio-soft-k2,62.84,52.2,55.11,0.5238
dev,gearbox,zscore-soft-k2,63.54,53.62,54.68,0.5206
dev,gearbox,conf-hard-m0-k2,60.06,53.6,55.58,0.4578
dev,gearbox,conf-hard-m10-k2,62.12,52.96,55.32,0.5147
dev,gearbox,conf-hard-m30-k2,63.88,51.3,55.26,0.5216
dev,gearbox,conf-hard-m100-k2,65.16,51.38,55.16,0.5216
dev,gearbox,conf-hard-m300-k2,65.54,51.68,55.11,0.5216
dev,gearbox,ratio-hard-k2,60.34,52.56,55.79,0.4703
dev,gearbox,zscore-hard-k2,60.16,53.98,55.21,0.4909
dev,gearbox,raw-k4,65.74,50.28,54.05,0.5208
dev,gearbox,conf-soft-m0-k4,61.76,51.48,53.89,0.5113
dev,gearbox,conf-soft-m10-k4,63.52,50.18,53.89,0.5208
dev,gearbox,conf-soft-m30-k4,64.52,50.02,54.05,0.5218
dev,gearbox,conf-soft-m100-k4,65.34,50.3,53.89,0.5212
dev,gearbox,conf-soft-m300-k4,65.46,50.3,53.95,0.5208
dev,gearbox,ratio-soft-k4,62.8,50.36,53.47,0.5222
dev,gearbox,zscore-soft-k4,63.86,50.54,53.63,0.5182
dev,gearbox,conf-hard-m0-k4,60.32,51.04,54.37,0.461
dev,gearbox,conf-hard-m10-k4,62.22,50.32,54.32,0.5099
dev,gearbox,conf-hard-m30-k4,64.0,49.56,54.16,0.5208
dev,gearbox,conf-hard-m100-k4,65.2,49.7,54.11,0.5208
dev,gearbox,conf-hard-m300-k4,65.48,50.08,54.0,0.5208
dev,gearbox,ratio-hard-k4,60.34,50.34,54.47,0.4695
dev,gearbox,zscore-hard-k4,61.48,50.8,54.21,0.4923
dev,gearbox,ldn-ratio-K1,62.3,57.82,54.53,0.4446
dev,gearbox,ldn-ratio-K16,64.8,56.14,53.68,0.478
dev,gearbox,ldn-diff-K1,61.28,57.24,56.05,0.4923
dev,gearbox,ldn-diff-K16,41.08,50.38,49.58,0.2681
dev,gearbox,conf-soft-m0-ldnK1,63.38,57.96,54.58,0.4483
dev,gearbox,conf-soft-m30-ldnK1,63.4,57.86,54.53,0.4491
dev,slider,raw-k1,75.44,52.9,51.21,0.6406
dev,slider,conf-soft-m0-k1,74.64,54.38,51.42,0.5943
dev,slider,conf-soft-m10-k1,74.92,53.74,51.21,0.6349
dev,slider,conf-soft-m30-k1,75.14,53.18,51.11,0.6394
dev,slider,conf-soft-m100-k1,75.28,52.96,51.11,0.6392
dev,slider,conf-soft-m300-k1,75.36,52.96,51.21,0.6402
dev,slider,ratio-soft-k1,74.84,54.1,51.58,0.6038
dev,slider,zscore-soft-k1,74.96,53.12,51.21,0.6174
dev,slider,conf-hard-m0-k1,75.3,54.14,51.21,0.582
dev,slider,conf-hard-m10-k1,75.42,53.6,51.21,0.6323
dev,slider,conf-hard-m30-k1,75.42,53.38,51.21,0.6406
dev,slider,conf-hard-m100-k1,75.44,53.14,51.21,0.6406
dev,slider,conf-hard-m300-k1,75.44,53.0,51.21,0.6406
dev,slider,ratio-hard-k1,75.02,54.44,51.21,0.5863
dev,slider,zscore-hard-k1,75.34,53.66,51.21,0.6115
dev,slider,raw-k2,74.7,53.8,50.89,0.6919
dev,slider,conf-soft-m0-k2,73.82,55.54,51.47,0.6826
dev,slider,conf-soft-m10-k2,74.32,54.88,51.26,0.6929
dev,slider,conf-soft-m30-k2,74.62,54.34,51.21,0.6923
dev,slider,conf-soft-m100-k2,74.7,54.0,51.11,0.6915
dev,slider,conf-soft-m300-k2,74.74,53.94,51.0,0.6923
dev,slider,ratio-soft-k2,74.14,55.3,51.95,0.6907
dev,slider,zscore-soft-k2,74.4,54.7,51.26,0.6893
dev,slider,conf-hard-m0-k2,74.6,54.84,50.89,0.6624
dev,slider,conf-hard-m10-k2,74.68,54.42,50.89,0.6931
dev,slider,conf-hard-m30-k2,74.68,54.28,50.89,0.6919
dev,slider,conf-hard-m100-k2,74.7,53.98,50.89,0.6919
dev,slider,conf-hard-m300-k2,74.7,53.84,50.89,0.6919
dev,slider,ratio-hard-k2,74.34,55.18,50.89,0.6612
dev,slider,zscore-hard-k2,74.64,54.5,50.89,0.6893
dev,slider,raw-k4,72.48,54.64,50.53,0.6588
dev,slider,conf-soft-m0-k4,71.1,56.42,51.37,0.6584
dev,slider,conf-soft-m10-k4,71.82,55.64,51.11,0.6594
dev,slider,conf-soft-m30-k4,72.16,55.14,50.95,0.6584
dev,slider,conf-soft-m100-k4,72.22,54.98,50.79,0.6578
dev,slider,conf-soft-m300-k4,72.36,54.74,50.63,0.6576
dev,slider,ratio-soft-k4,71.68,56.2,51.53,0.6638
dev,slider,zscore-soft-k4,71.76,55.78,51.05,0.6646
dev,slider,conf-hard-m0-k4,72.34,55.84,50.53,0.6531
dev,slider,conf-hard-m10-k4,72.48,55.24,50.53,0.6596
dev,slider,conf-hard-m30-k4,72.48,55.1,50.53,0.6588
dev,slider,conf-hard-m100-k4,72.48,54.78,50.53,0.6588
dev,slider,conf-hard-m300-k4,72.48,54.72,50.53,0.6588
dev,slider,ratio-hard-k4,72.18,55.92,50.53,0.656
dev,slider,zscore-hard-k4,72.42,55.5,50.53,0.6604
dev,slider,ldn-ratio-K1,72.28,48.94,55.37,0.4533
dev,slider,ldn-ratio-K16,79.3,50.9,55.89,0.5717
dev,slider,ldn-diff-K1,71.72,49.5,55.58,0.4547
dev,slider,ldn-diff-K16,41.92,52.3,49.26,0.4081
dev,slider,conf-soft-m0-ldnK1,72.52,48.7,55.26,0.4685
dev,slider,conf-soft-m30-ldnK1,72.52,48.72,55.26,0.4667
dev,ToyCar,raw-k1,75.76,58.98,52.11,0.9998
dev,ToyCar,conf-soft-m0-k1,35.24,84.48,48.37,0.4079
dev,ToyCar,conf-soft-m10-k1,39.18,84.08,49.74,0.744
dev,ToyCar,conf-soft-m30-k1,43.56,83.12,51.11,0.8838
dev,ToyCar,conf-soft-m100-k1,50.1,80.82,51.58,0.959
dev,ToyCar,conf-soft-m300-k1,58.56,76.02,51.79,0.9798
dev,ToyCar,ratio-soft-k1,59.34,71.44,50.68,0.7079
dev,ToyCar,zscore-soft-k1,58.16,71.86,50.74,0.7125
dev,ToyCar,conf-hard-m0-k1,50.4,71.04,50.84,0.4709
dev,ToyCar,conf-hard-m10-k1,51.14,70.92,50.84,0.7198
dev,ToyCar,conf-hard-m30-k1,51.62,70.5,50.84,0.8727
dev,ToyCar,conf-hard-m100-k1,53.74,70.42,50.84,0.9533
dev,ToyCar,conf-hard-m300-k1,60.0,69.66,50.84,0.9782
dev,ToyCar,ratio-hard-k1,51.58,70.92,50.84,0.5006
dev,ToyCar,zscore-hard-k1,50.42,71.0,50.84,0.5186
dev,ToyCar,raw-k2,76.16,48.14,52.05,0.9994
dev,ToyCar,conf-soft-m0-k2,34.1,84.2,48.32,0.4059
dev,ToyCar,conf-soft-m10-k2,38.22,83.68,48.89,0.7632
dev,ToyCar,conf-soft-m30-k2,43.3,82.72,50.26,0.8945
dev,ToyCar,conf-soft-m100-k2,50.24,80.9,51.37,0.9636
dev,ToyCar,conf-soft-m300-k2,58.16,76.2,51.42,0.982
dev,ToyCar,ratio-soft-k2,58.74,71.22,50.58,0.7749
dev,ToyCar,zscore-soft-k2,58.34,71.52,50.63,0.7699
dev,ToyCar,conf-hard-m0-k2,49.64,69.98,50.79,0.4523
dev,ToyCar,conf-hard-m10-k2,51.0,69.76,50.79,0.7087
dev,ToyCar,conf-hard-m30-k2,51.98,69.36,50.79,0.8743
dev,ToyCar,conf-hard-m100-k2,54.18,69.28,50.79,0.9531
dev,ToyCar,conf-hard-m300-k2,60.16,68.38,50.79,0.9776
dev,ToyCar,ratio-hard-k2,50.72,69.98,50.79,0.4782
dev,ToyCar,zscore-hard-k2,50.3,69.98,50.79,0.4879
dev,ToyCar,raw-k4,76.74,37.38,52.05,1.0
dev,ToyCar,conf-soft-m0-k4,34.44,82.2,48.63,0.4147
dev,ToyCar,conf-soft-m10-k4,39.52,81.48,49.05,0.7901
dev,ToyCar,conf-soft-m30-k4,44.22,80.44,49.63,0.903
dev,ToyCar,conf-soft-m100-k4,51.52,78.12,51.47,0.9636
