policy,config,eval_omega,crit_eval,dev_omega,crit_dev
mix,conf-hard-m100-k4,52.795,0.4995,55.1112,0.5516
mix,conf-hard-m300-k4,52.4195,0.5068,55.3763,0.5558
mix,ratio-hard-k4,54.2893,0.4005,53.8936,0.4054
mix,zscore-hard-k4,54.3451,0.4035,54.0584,0.43
mix,ldn-ratio-K1,56.7843,0.3952,53.1489,0.4199
mix,ldn-ratio-K16,55.7288,0.4097,52.4882,0.4148
mix,ldn-diff-K1,57.0485,0.4121,53.3258,0.4558
mix,ldn-diff-K16,46.4058,0.5409,50.5611,0.4373
mix,conf-soft-m0-ldnK1,56.7445,0.3963,53.1797,0.4129
mix,conf-soft-m30-ldnK1,56.7602,0.396,53.1848,0.4139
