policy,machine,config,auc_source,auc_target,pauc,balance_ks
mix,ToyCarEmu,zscore-soft-k2,51.8,66.08,51.63,0.5713
mix,ToyCarEmu,conf-hard-m0-k2,44.38,74.06,51.58,0.4414
mix,ToyCarEmu,conf-hard-m10-k2,49.02,69.98,51.47,0.7065
mix,ToyCarEmu,conf-hard-m30-k2,53.26,64.4,51.42,0.8194
mix,ToyCarEmu,conf-hard-m100-k2,57.9,59.86,51.74,0.8798
mix,ToyCarEmu,conf-hard-m300-k2,60.94,55.46,52.05,0.897
mix,ToyCarEmu,ratio-hard-k2,43.1,74.78,51.58,0.4576
mix,ToyCarEmu,zscore-hard-k2,48.14,71.72,51.26,0.4903
mix,ToyCarEmu,raw-k4,65.04,45.0,52.05,0.8917
mix,ToyCarEmu,conf-soft-m0-k4,50.2,65.3,50.37,0.5321
mix,ToyCarEmu,conf-soft-m10-k4,54.78,59.36,50.53,0.7903
mix,ToyCarEmu,conf-soft-m30-k4,58.58,54.72,51.21,0.8471
mix,ToyCarEmu,conf-soft-m100-k4,62.02,50.4,51.42,0.8758
mix,ToyCarEmu,conf-soft-m300-k4,63.56,47.56,51.95,0.8842
mix,ToyCarEmu,ratio-soft-k4,52.7,61.18,50.53,0.6945
mix,ToyCarEmu,zscore-soft-k4,55.18,58.18,51.32,0.5937
mix,ToyCarEmu,conf-hard-m0-k4,46.94,70.36,51.26,0.4285
mix,ToyCarEmu,conf-hard-m10-k4,52.48,64.38,51.11,0.6956
mix,ToyCarEmu,conf-hard-m30-k4,56.02,58.96,51.0,0.8261
mix,ToyCarEmu,conf-hard-m100-k4,60.2,53.42,51.42,0.8814
mix,ToyCarEmu,conf-hard-m300-k4,62.82,49.22,51.89,0.8867
mix,ToyCarEmu,ratio-hard-k4,43.76,72.18,51.37,0.3949
mix,ToyCarEmu,zscore-hard-k4,51.06,67.26,50.74,0.4687
mix,ToyCarEmu,ldn-ratio-K1,40.52,74.14,51.37,0.3586
mix,ToyCarEmu,ldn-ratio-K16,43.56,77.82,50.37,0.5188
mix,ToyCarEmu,ldn-diff-K1,43.38,72.52,50.0,0.442
mix,ToyCarEmu,ldn-diff-K16,70.4,54.92,52.0,0.4087
mix,ToyCarEmu,conf-soft-m0-ldnK1,40.54,74.06,51.37,0.3515
mix,ToyCarEmu,conf-soft-m30-ldnK1,40.58,74.08,51.37,0.3527
mix,bearingEmu,raw-k1,53.48,52.56,54.84,0.3224
mix,bearingEmu,conf-soft-m0-k1,53.3,52.34,54.47,0.3101
mix,bearingEmu,conf-soft-m10-k1,53.36,52.4,54.58,0.3192
mix,bearingEmu,conf-soft-m30-k1,53.32,52.48,54.47,0.3204
mix,bearingEmu,conf-soft-m100-k1,53.44,52.56,54.68,0.321
mix,bearingEmu,conf-soft-m300-k1,53.46,52.54,54.79,0.3214
mix,bearingEmu,ratio-soft-k1,53.48,52.56,54.84,0.3135
mix,bearingEmu,zscore-soft-k1,53.48,52.56,54.89,0.3059
