config,dev_omega,eval_omega,crit_dev,crit_eval
raw-k1,57.8243,57.6402,0.4581,0.7201
conf-soft-m0-k1,58.1293,57.6933,0.4368,0.4946
conf-soft-m10-k1,58.1073,58.3287,0.4397,0.6129
conf-soft-m30-k1,58.0154,58.2791,0.4497,0.6718
conf-soft-m100-k1,57.932,58.2037,0.4546,0.7031
conf-soft-m300-k1,57.881,58.1128,0.4567,0.7129
ratio-soft-k1,57.7297,56.7601,0.4344,0.5178
zscore-soft-k1,58.2499,57.8483,0.4522,0.5488
conf-hard-m0-k1,58.4435,57.3328,0.4331,0.4974
conf-hard-m10-k1,58.3915,58.2478,0.4362,0.6043
conf-hard-m30-k1,58.2507,58.3062,0.4478,0.668
conf-hard-m100-k1,58.0338,58.1872,0.4541,0.7015
conf-hard-m300-k1,57.9102,58.1174,0.4564,0.7128
ratio-hard-k1,57.9341,56.2876,0.4274,0.5114
zscore-hard-k1,58.3676,57.7399,0.4451,0.5495
raw-k2,57.7709,56.7525,0.4889,0.7857
conf-soft-m0-k2,58.2676,57.1635,0.4503,0.4954
conf-soft-m10-k2,58.2221,58.1199,0.4598,0.6498
conf-soft-m30-k2,58.0446,57.9314,0.4754,0.7257
conf-soft-m100-k2,57.8769,57.789,0.4845,0.7632
conf-soft-m300-k2,57.8186,57.5115,0.4865,0.7759
ratio-soft-k2,57.9557,56.3281,0.4423,0.5303
zscore-soft-k2,58.4862,57.8956,0.4698,0.5534
conf-hard-m0-k2,58.6354,56.6196,0.4443,0.4993
conf-hard-m10-k2,58.5328,57.926,0.46,0.64
conf-hard-m30-k2,58.3162,57.9783,0.4758,0.7203
conf-hard-m100-k2,58.0215,57.774,0.4844,0.7617
conf-hard-m300-k2,57.8675,57.5596,0.4871,0.7753
ratio-hard-k2,58.2292,55.6209,0.4384,0.515
zscore-hard-k2,58.7012,57.6415,0.4616,0.5507
raw-k4,57.2875,54.9726,0.5085,0.8421
conf-soft-m0-k4,57.9672,56.2705,0.4379,0.5076
conf-soft-m10-k4,57.9626,57.1543,0.4773,0.6778
conf-soft-m30-k4,57.8011,57.2431,0.4933,0.7675
conf-soft-m100-k4,57.5545,57.0444,0.503,0.8127
conf-soft-m300-k4,57.4393,56.3157,0.5056,0.8292
ratio-soft-k4,57.8091,55.969,0.4407,0.5666
zscore-soft-k4,58.3181,57.2929,0.4515,0.5825
conf-hard-m0-k4,58.438,55.6239,0.4365,0.5163
conf-hard-m10-k4,58.3543,56.7943,0.4773,0.6607
conf-hard-m30-k4,58.0961,57.0471,0.4941,0.7604
conf-hard-m100-k4,57.7546,56.8989,0.5029,0.8105
conf-hard-m300-k4,57.5084,56.3358,0.5059,0.8282
ratio-hard-k4,58.1595,54.7144,0.4391,0.5299
zscore-hard-k4,58.6088,56.6843,0.4449,0.5825
ldn-ratio-K1,57.3985,59.165,0.4841,0.5583
ldn-ratio-K16,57.204,53.8094,0.493,0.5812
ldn-diff-K1,57.8713,60.1082,0.4921,0.6357
ldn-diff-K16,48.0897,47.4783,0.4148,0.6883
conf-soft-m0-ldnK1,57.3091,59.2278,0.4744,0.5395
conf-soft-m30-ldnK1,57.329,59.2333,0.4766,0.5414
