policy,machine,config,auc_source,auc_target,pauc,balance_ks
ch0,ToyCarEmu,conf-soft-m300-k2,58.34,61.58,51.47,0.9069
ch0,ToyCarEmu,ratio-soft-k2,47.9,77.88,49.95,0.6133
ch0,ToyCarEmu,zscore-soft-k2,50.4,76.28,51.16,0.5727
ch0,ToyCarEmu,conf-hard-m0-k2,42.5,84.54,51.53,0.4044
ch0,ToyCarEmu,conf-hard-m10-k2,47.18,81.22,51.53,0.6873
ch0,ToyCarEmu,conf-hard-m30-k2,50.12,74.74,51.53,0.8129
ch0,ToyCarEmu,conf-hard-m100-k2,55.14,67.56,51.53,0.8816
ch0,ToyCarEmu,conf-hard-m300-k2,58.18,63.24,51.79,0.9036
ch0,ToyCarEmu,ratio-hard-k2,41.56,85.58,51.53,0.3774
ch0,ToyCarEmu,zscore-hard-k2,45.42,82.2,51.53,0.4915
ch0,ToyCarEmu,raw-k4,62.84,48.94,52.47,0.9432
ch0,ToyCarEmu,conf-soft-m0-k4,47.76,75.28,48.84,0.4562
ch0,ToyCarEmu,conf-soft-m10-k4,51.4,69.7,49.26,0.7855
ch0,ToyCarEmu,conf-soft-m30-k4,54.44,63.18,49.53,0.8735
ch0,ToyCarEmu,conf-soft-m100-k4,58.12,57.18,50.89,0.9139
ch0,ToyCarEmu,conf-soft-m300-k4,60.96,52.78,51.21,0.9297
ch0,ToyCarEmu,ratio-soft-k4,50.86,70.7,50.21,0.6879
ch0,ToyCarEmu,zscore-soft-k4,53.26,69.42,50.74,0.5554
ch0,ToyCarEmu,conf-hard-m0-k4,45.24,80.86,51.58,0.4053
ch0,ToyCarEmu,conf-hard-m10-k4,49.38,76.1,51.58,0.7057
ch0,ToyCarEmu,conf-hard-m30-k4,52.86,68.82,51.58,0.8315
ch0,ToyCarEmu,conf-hard-m100-k4,57.56,60.62,51.58,0.9008
ch0,ToyCarEmu,conf-hard-m300-k4,60.68,55.2,51.74,0.9222
ch0,ToyCarEmu,ratio-hard-k4,44.28,80.64,51.58,0.3881
